Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.100k lines.fromText.nano-rope,1940917968,96026454,7406604,531803,138412032
All.100k lines.fromText.text-rope,2807617187,167705098,11687666,361,138412032
All.100k lines.fromText.yi-rope,4260253906,331479608,2710991,31367,138412032
All.100k lines.fromText.core-text,11734,846,55,0,138412032
All.100k lines.toText.nano-rope,312042236,20717474,4029324,123,159383552
All.100k lines.toText.text-rope,48521,2528,383,0,159383552
All.100k lines.toText.yi-rope,1159667968,83852548,8074778,11676,159383552
All.100k lines.toText.core-text,75809,6692,543,0,159383552
All.100k lines.10k random inserts.nano-rope,4962158203,465993072,17946961,1167723,159383552
All.100k lines.10k random inserts.text-rope,19335937500,1778372812,75432423,5060474,159383552
All.100k lines.10k random inserts.yi-rope,102734375000,5303673734,330540673,21382331,177209344
All.100k lines.10k random inserts.core-text,343750000000,21466252582,320637239,21051431,177209344
All.100k lines.100 bursts of 100 keystrokes.nano-rope,494384765,41434950,3148187,6106,177209344
All.100k lines.100 bursts of 100 keystrokes.text-rope,3771972656,276888104,15654819,275737,177209344
All.100k lines.100 bursts of 100 keystrokes.yi-rope,65234375000,4430209680,301220428,498064,177209344
All.100k lines.100 bursts of 100 keystrokes.core-text,4478125000000,126785054324,260238370,843564,177209344
"All.100k lines.100 bursts of 100 keystrokes, reading the line after each.nano-rope",4760742187,335410196,20847133,38753,177209344
"All.100k lines.100 bursts of 100 keystrokes, reading the line after each.text-rope",210156250000,17720838720,826686014,4463318,177209344
"All.100k lines.100 bursts of 100 keystrokes, reading the line after each.yi-rope",260156250000,14226982506,544989109,440748,177209344
All.100k lines.10k keystrokes in one spot.nano-rope,436401367,24129444,3579913,22507,177209344
All.100k lines.10k keystrokes in one spot.text-rope,2868652343,167705098,24367917,171472,177209344
All.100k lines.10k keystrokes in one spot.yi-rope,61523437500,2683281572,316412328,660755,177209344
All.100k lines.10k random deletes.nano-rope,5322265625,444593202,17905663,1162846,177209344
All.100k lines.10k random deletes.text-rope,423437500000,35441677442,2674360687,42859954,185597952
All.100k lines.10k random deletes.yi-rope,87695312500,4430209680,294495104,23495217,185597952
All.100k lines.10k random deletes.core-text,473437500000,28453965012,340465430,18714799,185597952
All.100k lines.10k random splits.nano-rope,10644531250,889186406,46406564,2867,185597952
All.100k lines.10k random splits.text-rope,1478125000000,56907930026,20072425,5537,185597952
All.100k lines.10k random splits.yi-rope,105078125000,8860419360,142400328,9351,185597952
All.100k lines.10k edits at UTF-16 positions.nano-rope,10009765625,670820392,24156661,1528565,185597952
All.100k lines.10k edits at UTF-16 positions.text-rope,43457031250,3525300920,147791018,15451137,188743680
All.100k lines.10k byte offsets to UTF-16 positions.nano-rope,2539062500,222296600,1804777,55,188743680
All.100k lines.10k getLine.nano-rope,2990722656,167705098,5316587,148,188743680
All.100k lines.10k getLine.text-rope,1553125000000,56907930026,32094836,5398,188743680
All.100k lines.10k getLine.yi-rope,125000000000,10733126290,227817690,16040,188743680
"All.100k lines.one long line, 10k random inserts.nano-rope",4809570312,444593202,18052003,1144545,188743680
"All.100k lines.one long line, 10k random inserts.text-rope",16699218750,889186406,66006656,2901212,188743680
"All.100k lines.one long line, 10k random inserts.yi-rope",103125000000,3556745626,326214413,20938890,188743680
"All.100k lines.one long line, 10k random inserts.core-text",281250000000,21466252582,319451620,20636685,188743680
"All.100k lines.after 10k edits, 10k random splits.nano-rope",11474609375,670820392,45601966,2743,188743680
"All.100k lines.after 10k edits, 10k random splits.text-rope",20800781250,1778372812,107012634,6566,188743680
"All.100k lines.after 10k edits, 10k random splits.yi-rope",98437500000,7113491252,184690971,15333,188743680
"All.100k lines.after 10k edits, 10k random splits.core-text",81445312500,3556745626,159703397,9430,188743680
"All.100k lines.after 10k edits, 10k getLine.nano-rope",2893066406,222296600,4844700,124,188743680
"All.100k lines.after 10k edits, 10k getLine.text-rope",15576171875,1536423270,78874203,3744,188743680
"All.100k lines.after 10k edits, 10k getLine.yi-rope",112890625000,10607347468,259559867,17046,188743680
"All.100k lines.after 10k edits, 10k random inserts.nano-rope",5126953125,335410196,17874403,1178948,188743680
"All.100k lines.after 10k edits, 10k random inserts.text-rope",19824218750,1778372812,87235483,6131206,188743680
"All.100k lines.after 10k edits, 10k random inserts.yi-rope",107812500000,10607347468,335484375,22339922,188743680
"All.100k lines.after 10k edits, 10k random inserts.core-text",185937500000,14226982506,303687917,17975926,188743680
"All.100k lines.after 10k edits, 100 bursts of 100 keystrokes.nano-rope",488281250,41926274,3104877,5730,188743680
"All.100k lines.after 10k edits, 100 bursts of 100 keystrokes.text-rope",2490234375,111148300,16647923,361888,188743680
"All.100k lines.after 10k edits, 100 bursts of 100 keystrokes.yi-rope",72851562500,3556745626,350297830,517531,188743680
"All.100k lines.after 10k edits, 100 bursts of 100 keystrokes.core-text",142578125000,14101203682,312417918,1119686,188743680
"All.100k lines.after 10k edits, 10k keystrokes in one spot.nano-rope",440979003,34611012,3584488,22453,188743680
"All.100k lines.after 10k edits, 10k keystrokes in one spot.text-rope",1232910156,111148300,10877922,281468,188743680
"All.100k lines.after 10k edits, 10k keystrokes in one spot.yi-rope",87109375000,7113491252,398249223,477442,188743680
"All.100k lines.after 10k edits, 10k keystrokes in one spot.core-text",142968750000,14226982506,322139122,1244950,188743680
"All.100k lines.after 10k edits, toText.nano-rope",256347656,20717474,4039324,73,188743680
"All.100k lines.after 10k edits, toText.text-rope",434875488,20963136,5253722,667,188743680
"All.100k lines.after 10k edits, toText.yi-rope",1782226562,111148300,11554531,40602,188743680
"All.100k lines.after 10k edits, toText.core-text",3063964843,276888104,15202926,199485,188743680
